NAICS2017 LABEL (2018 (2017) Census Business Data.csv),SEX LABEL (2018 (2017) Census Business Data.csv),Count of NAICS2017 (2018 (2017) Census Business Data.csv)
Utilities,Male,121
Industries not classified,Male,128
"Mining, quarrying, and oil and gas extraction",Male,132
"Agriculture, forestry, fishing and hunting(660)",Male,155
Management of companies and enterprises,Male,215
Finance and insurance(662),Male,224
Information,Male,230
"Arts, entertainment, and recreation",Male,211
Real estate and rental and leasing,Male,219
Educational services,Male,200
Wholesale trade,Male,238
Transportation and warehousing(661),Male,245
Construction,Male,239
Other services (except public administration)(663),Male,227
Manufacturing,Male,248
Retail trade,Male,252
"Professional, scientific, and technical services",Male,258
Accommodation and food services,Male,256
Health care and social assistance,Male,240
Administrative and support and waste management and remediation services,Male,252
Utilities,Female,65
Industries not classified,Female,76
"Mining, quarrying, and oil and gas extraction",Female,93
"Agriculture, forestry, fishing and hunting(660)",Female,119
Management of companies and enterprises,Female,143
Finance and insurance(662),Female,169
Information,Female,174
"Arts, entertainment, and recreation",Female,178
Real estate and rental and leasing,Female,178
Educational services,Female,189
Wholesale trade,Female,195
Transportation and warehousing(661),Female,198
Construction,Female,199
Other services (except public administration)(663),Female,200
Manufacturing,Female,200
Retail trade,Female,218
"Professional, scientific, and technical services",Female,228
Accommodation and food services,Female,222
Health care and social assistance,Female,240
Administrative and support and waste management and remediation services,Female,241
Utilities,Equally male/female,49
Industries not classified,Equally male/female,88
"Mining, quarrying, and oil and gas extraction",Equally male/female,93
"Agriculture, forestry, fishing and hunting(660)",Equally male/female,119
Management of companies and enterprises,Equally male/female,129
Finance and insurance(662),Equally male/female,138
Information,Equally male/female,151
"Arts, entertainment, and recreation",Equally male/female,143
Real estate and rental and leasing,Equally male/female,156
Educational services,Equally male/female,148
Wholesale trade,Equally male/female,181
Transportation and warehousing(661),Equally male/female,181
Construction,Equally male/female,167
Other services (except public administration)(663),Equally male/female,174
Manufacturing,Equally male/female,191
Retail trade,Equally male/female,207
"Professional, scientific, and technical services",Equally male/female,181
Accommodation and food services,Equally male/female,212
Health care and social assistance,Equally male/female,206
Administrative and support and waste management and remediation services,Equally male/female,194
