NAICS2017 LABEL (2018 (2017) Census Business Data.csv),SEX LABEL (2018 (2017) Census Business Data.csv),Count of NAICS2017 (2018 (2017) Census Business Data.csv)
Wholesale trade,Male,238
Utilities,Male,121
Transportation and warehousing(661),Male,245
Retail trade,Male,252
Real estate and rental and leasing,Male,219
"Professional, scientific, and technical services",Male,258
Other services (except public administration)(663),Male,227
"Mining, quarrying, and oil and gas extraction",Male,132
Manufacturing,Male,248
Management of companies and enterprises,Male,215
Information,Male,230
Industries not classified,Male,128
Health care and social assistance,Male,240
Finance and insurance(662),Male,224
Educational services,Male,200
Construction,Male,239
"Arts, entertainment, and recreation",Male,211
"Agriculture, forestry, fishing and hunting(660)",Male,155
Administrative and support and waste management and remediation services,Male,252
Accommodation and food services,Male,256
Wholesale trade,Female,195
Utilities,Female,65
Transportation and warehousing(661),Female,198
Retail trade,Female,218
Real estate and rental and leasing,Female,178
"Professional, scientific, and technical services",Female,228
Other services (except public administration)(663),Female,200
"Mining, quarrying, and oil and gas extraction",Female,93
Manufacturing,Female,200
Management of companies and enterprises,Female,143
Information,Female,174
Industries not classified,Female,76
Health care and social assistance,Female,240
Finance and insurance(662),Female,169
Educational services,Female,189
Construction,Female,199
"Arts, entertainment, and recreation",Female,178
"Agriculture, forestry, fishing and hunting(660)",Female,119
Administrative and support and waste management and remediation services,Female,241
Accommodation and food services,Female,222
Wholesale trade,Equally male/female,181
Utilities,Equally male/female,49
Transportation and warehousing(661),Equally male/female,181
Retail trade,Equally male/female,207
Real estate and rental and leasing,Equally male/female,156
"Professional, scientific, and technical services",Equally male/female,181
Other services (except public administration)(663),Equally male/female,174
"Mining, quarrying, and oil and gas extraction",Equally male/female,93
Manufacturing,Equally male/female,191
Management of companies and enterprises,Equally male/female,129
Information,Equally male/female,151
Industries not classified,Equally male/female,88
Health care and social assistance,Equally male/female,206
Finance and insurance(662),Equally male/female,138
Educational services,Equally male/female,148
Construction,Equally male/female,167
"Arts, entertainment, and recreation",Equally male/female,143
"Agriculture, forestry, fishing and hunting(660)",Equally male/female,119
Administrative and support and waste management and remediation services,Equally male/female,194
Accommodation and food services,Equally male/female,212
