GEO_ID,GEO_ID_F,NAME,NAICS2017,NAICS2017_F,INDLEVEL,NAICS2017_LABEL,INDGROUP,SECTOR,SUBSECTOR,SEX,SEX_LABEL,ETH_GROUP,ETH_GROUP_LABEL,RACE_GROUP,RACE_GROUP_LABEL,VET_GROUP,VET_GROUP_LABEL,EMPSZFI,EMPSZFI_LABEL,QDESC,QDESC_LABEL,BUSCHAR,BUSCHAR_LABEL,YEAR,FIRMPDEMP,FIRMPDEMP_PCT,RCPPDEMP,RCPPDEMP_PCT,EMP,EMP_PCT,PAYANN,PAYANN_PCT,FIRMPDEMP_S,FIRMPDEMP_PCT_S,RCPPDEMP_S,RCPPDEMP_PCT_S,EMP_S,EMP_PCT_S,PAYANN_S,PAYANN_PCT_S
id,Geo Footnote,Geographic Area Name,2017 NAICS code,2017 NAICS Footnote,Industry level,Meaning of NAICS code,Industry group,NAICS economic sector ,SUBSECTOR,Sex code,Meaning of Sex code,Ethnicity code,Meaning of Ethnicity code,Race code,Meaning of Race code,Veteran code,Meaning of Veteran code,Employment size of firms code,Meaning of Employment size of firms code,Question description code,Meaning of Question description code,Business characteristic code,Meaning of Business characteristic code,Year,Number of employer firms,Percent of employer firms (%),"Sales, value of shipments, or revenue of employer firms ($1,000)","Percent of sales, value of shipments, or revenue of employer firms (%)",Number of employees,Percent of employees (%),"Annual payroll ($1,000)",Percent of annual payroll (%),Relative standard error of employer firms (%),Standard error of percent of employer firms (%),"Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Standard error of percent of sales, value of shipments, or revenue of employer firms (%)",Relative standard error of number of employees (%),Standard error of percent of employees (%),Relative standard error of annual payroll (%),Standard error of percent of annual payroll (%)
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,A1,All firms,2018,711493,X,325046053,X,0,X,49465824,X,0.8,X,4.4,X,0,X,2.8,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BQ,1 person,2018,156798,69.3,46260619,55.1,0,0,8190124,70.3,1.5,0.5,3.8,4.3,0,0,5.4,2.5
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BQ01,2 to 4 people,2018,66179,29.2,32178385,38.3,0,0,3129307,26.9,2.1,0.5,10.1,2.2,0,0,6.2,1.8
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BQ02,5 to 10 people,2018,1825,0.8,1240683,1.5,0,0,53725,0.5,11.6,0.1,22.2,0.5,0,0,29.4,0.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BQ03,11 or more people,2018,763,0.3,3726025,4.4,0,0,257135,2.2,25.2,0.1,48.5,4.1,0,0,56.5,1.6
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BX,Unknown number of owners,2018,709,0.3,589188,0.7,0,0,20651,0.2,11,0,40.6,0.3,0,0,44.5,0.1
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BY,Total reporting,2018,226273,100,83994899,100,0,0,11650942,100,1.3,0,6.2,0,0,0,3.6,0
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,611,Firms with no employees,B01,OWNRNUM,BZ,Item not reported,2018,9140,X,10136679,X,0,X,1237289,X,4.2,X,46.1,X,0,X,42.3,X
0100000US,null,United States,0,null,2,Total for all sectors,null,0,null,1,Total,1,Total,0,Total,1,Total,612,Firms with 1 to 4 employees,B01,OWNRNUM,A1,All firms,2018,2810033,X,1247506977,X,5612254,X,225973662,X,0.2,X,0.5,X,0.3,X,1,X
