NAICS2017 LABEL (2019 (2018) Census Business Data.csv),SEX LABEL (2019 (2018) Census Business Data.csv),Count of NAICS2017 (2019 (2018) Census Business Data.csv)
"Agriculture, forestry, fishing and hunting(660)",Male,290
Utilities,Male,293
Industries not classified,Male,289
"Mining, quarrying, and oil and gas extraction",Male,337
Management of companies and enterprises,Male,333
Real estate and rental and leasing,Male,390
Information,Male,405
Construction,Male,406
"Arts, entertainment, and recreation",Male,353
Finance and insurance(662),Male,368
Transportation and warehousing(661),Male,394
Educational services,Male,321
Accommodation and food services,Male,401
Other services (except public administration)(663),Male,385
Wholesale trade,Male,402
Retail trade,Male,402
Administrative and support and waste management and remediation services,Male,404
Health care and social assistance,Male,400
Manufacturing,Male,412
"Professional, scientific, and technical services",Male,420
"Agriculture, forestry, fishing and hunting(660)",Female,198
Utilities,Female,206
Industries not classified,Female,235
"Mining, quarrying, and oil and gas extraction",Female,242
Management of companies and enterprises,Female,254
Real estate and rental and leasing,Female,299
Information,Female,299
Construction,Female,303
"Arts, entertainment, and recreation",Female,312
Finance and insurance(662),Female,317
Transportation and warehousing(661),Female,319
Educational services,Female,336
Accommodation and food services,Female,343
Other services (except public administration)(663),Female,349
Wholesale trade,Female,351
Retail trade,Female,366
Administrative and support and waste management and remediation services,Female,365
Health care and social assistance,Female,374
Manufacturing,Female,375
"Professional, scientific, and technical services",Female,380
"Agriculture, forestry, fishing and hunting(660)",Equally male/female,239
Utilities,Equally male/female,253
Industries not classified,Equally male/female,321
"Mining, quarrying, and oil and gas extraction",Equally male/female,322
Management of companies and enterprises,Equally male/female,247
Real estate and rental and leasing,Equally male/female,387
Information,Equally male/female,379
Construction,Equally male/female,377
"Arts, entertainment, and recreation",Equally male/female,331
Finance and insurance(662),Equally male/female,349
Transportation and warehousing(661),Equally male/female,376
Educational services,Equally male/female,322
Accommodation and food services,Equally male/female,391
Other services (except public administration)(663),Equally male/female,365
Wholesale trade,Equally male/female,387
Retail trade,Equally male/female,384
Administrative and support and waste management and remediation services,Equally male/female,376
Health care and social assistance,Equally male/female,388
Manufacturing,Equally male/female,404
"Professional, scientific, and technical services",Equally male/female,402
