"GEO_ID","id"
"GEO_ID_F","Geo Footnote"
"NAME","Geographic Area Name"
"NAICS2017","2017 NAICS code"
"NAICS2017_LABEL","Meaning of NAICS code"
"INDLEVEL","Industry level"
"INDGROUP","Industry group"
"SUBSECTOR","SUBSECTOR"
"NAICS2017_F","2017 NAICS Footnote"
"SECTOR","NAICS economic sector "
"SEX","Sex code"
"SEX_LABEL","Meaning of Sex code"
"ETH_GROUP","Ethnicity code"
"ETH_GROUP_LABEL","Meaning of Ethnicity code"
"RACE_GROUP","Race code"
"RACE_GROUP_LABEL","Meaning of Race code"
"VET_GROUP","Veteran code"
"VET_GROUP_LABEL","Meaning of Veteran code"
"EMPSZFI","Employment size of firms code"
"EMPSZFI_LABEL","Meaning of Employment size of firms code"
"YEAR","Year"
"FIRMPDEMP","Number of employer firms"
"RCPPDEMP","Sales, value of shipments, or revenue of employer firms ($1,000)"
"EMP","Number of employees"
"PAYANN","Annual payroll ($1,000)"
"FIRMPDEMP_S","Relative standard error of employer firms (%)"
"RCPPDEMP_S","Relative standard error of sales, value of shipments, or revenue of employer firms (%)"
"EMP_S","Relative standard error of number of employees (%)"
"PAYANN_S","Relative standard error of annual payroll (%)"
