"GEO_ID","GEO_ID_F","NAME","NAICS2017","NAICS2017_F","NAICS2017_LABEL","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","EMPSZFI","EMPSZFI_LABEL","YEAR","FIRMPDEMP","RCPPDEMP","EMP","PAYANN","FIRMPDEMP_S","RCPPDEMP_S","EMP_S","PAYANN_S"
"id","Geo Footnote","Geographic Area Name","2017 NAICS code","2017 NAICS Footnote","Meaning of NAICS code","Sex code","Meaning of Sex code","Ethnicity code","Meaning of Ethnicity code","Race code","Meaning of Race code","Veteran code","Meaning of Veteran code","Employment size of firms code","Meaning of Employment size of firms code","Year","Number of employer firms","Sales, value of shipments, or revenue of employer firms ($1,000)","Number of employees","Annual payroll ($1,000)","Relative standard error of employer firms (%)","Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Relative standard error of number of employees (%)","Relative standard error of annual payroll (%)"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","611","Firms with no employees","2019","730078","298164421","0","50074562","0.8","3.6","0.0","2.4"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","2826849","1266736429","5632339","233431702","0.4","1.1","0.6","1.3"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","959641","1142368704","6329828","257601290","1.0","1.5","0.9","1.1"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","609335","1440258482","8211284","347772825","0.9","2.5","1.0","1.6"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","406468","2445916742","12230321","540126965","1.4","3.3","1.3","2.0"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","126504","2187018333","8663459","420744459","0.9","3.3","0.9","1.6"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","70299","3210325608","10646783","581208064","2.1","6.1","2.2","2.8"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","21860","2562327727","7588844","427858336","4.5","11.5","4.4","5.0"
"0100000US","null","United States","00","null","Total for all sectors","001","Total","001","Total","00","Total","001","Total","657","Firms with 500 employees or more","2019","20256","25520137251","69595369","4368767359","1.6","0.9","0.4","0.2"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","611","Firms with no employees","2019","158897","47463228","0","8762911","1.3","4.6","0.0","2.6"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","612","Firms with 1 to 4 employees","2019","628816","222730769","1221369","44886992","1.0","1.9","1.1","1.7"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","620","Firms with 5 to 9 employees","2019","200269","179280512","1318130","44822901","1.6","3.2","1.6","2.8"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","630","Firms with 10 to 19 employees","2019","120153","218176483","1610482","57106171","2.0","4.3","2.4","3.6"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","641","Firms with 20 to 49 employees","2019","71580","301700718","2120580","77208891","4.7","7.3","4.3","3.8"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","642","Firms with 50 to 99 employees","2019","18034","234710674","1213948","48730822","5.7","14.8","4.9","7.1"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","651","Firms with 100 to 249 employees","2019","7696","189604449","1137654","48683078","7.1","12.2","7.5","10.2"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","652","Firms with 250 to 499 employees","2019","1785","110774133","609863","24850559","13.6","15.9","13.1","10.3"
"0100000US","null","United States","00","null","Total for all sectors","002","Female","001","Total","00","Total","001","Total","657","Firms with 500 employees or more","2019","1176","303813826","1559922","63499808","7.0","3.3","3.1","3.7"
